name	included	major
funk carioca	0	0
funk mandelão	0	0
funk melody	0	0
funk metal	0	0
funknejo	0	0
funk ostentação	0	0
funkot	0	0
funk proibidão	0	0
funk rock	0	0
funktronica	1	0
funky house	0	0
future bass	0	0
future bounce	0	0
future funk	0	0
future garage	0	0
future house	0	0
futurepop	1	0
futurism	0	0
futuristic swag	0	0
gabber	0	0
gaelic psalm	0	0
gagaku	0	0
gagauz folk music	0	0
gagok	0	0
gaita zuliana	0	0
galician folk music	0	0
gamelan	0	0
gamelan angklung	0	0
gamelan beleganjur	0	0
gamelan degung	0	0
gamelan gender wayang	0	0
gamelan gong gede	0	0
gamelan gong kebyar	0	0
gamelan jawa	0	0
gamelan jegog	0	0
gamelan sekaten	0	0
gamelan selonding	0	0
gamelan semar pegulingan	0	0
gangsta rap	0	0
garage house	0	0
garage punk	0	0
garage rock	0	0
garage rock revival	0	0
garba	0	0
garifuna folk music	0	0
gascon folk music	0	0
genge	0	0
georgian folk music	0	0
german folk music	0	0
g-funk	0	0
għana	0	0
ghazal	0	0
ghetto house	0	0
ghettotech	0	0
girl group	0	0
glam metal	0	0
glam punk	0	0
glam rock	0	0
glitch	1	0
glitch hop	0	0
glitch hop [edm]	0	0
glitch pop	1	0
gnawa	0	0
goa trance	0	0
go-go	0	0
gondang	0	0
goombay	0	0
goral music	0	0
goregrind	0	0
gorenoise	0	0
gospel	0	0
gothic country	0	0
gothic metal	0	0
gothic rock	1	0
gqom	0	0
grebo	0	0
greek folk music	0	0
greek music	0	0
gregorian chant	0	0
grime	0	0
grindcore	0	0
groove metal	0	0
group sounds	0	0
grunge	0	0
guaguancó	0	0
guajira	0	0
guaracha	0	0
guarania	0	0
gujarati folk music	0	0
gumbe	0	0
guoyue	0	0
gwo ka	0	0
gypsy punk	0	0
habanera	0	0
halftime	0	0
halloween music	0	0
hamburger schule	0	0
hands up	0	0
han folk music	0	0
happy hardcore	0	0
harawi	0	0
hardbass	0	0
hard bop	0	0
hardcore breaks	0	0
hardcore [edm]	0	0
hardcore hip hop	0	0
hardcore punk	0	0
hardcore [punk]	0	0
hard drum	0	0
hardgroove	0	0
hard rock	0	0
hardstep	0	0
hardstyle	0	0
hard trance	0	0
hardvapour	0	0
harsh noise	0	0
harsh noise wall	0	0
hausa music	0	0
hawaiian music	0	0
heartland rock	0	0
heavy metal	0	0
heavy psych	0	0
heikyoku	0	0
hexd	0	0
highlife	0	0
hill country blues	0	0
hill tribe music	0	0
himene tarava	0	0
hindustani classical music	0	0
hi-nrg	0	0
hip hop	0	1
hip house	0	0
hiplife	0	0
hispanic american folk music	0	0
hispanic american music	0	0
hispanic music	0	0
hi-tech psytrance	0	0
hmong folk music	0	0
hmong pop	0	0
holiday music	0	0
honkyoku	0	0
honky tonk	0	0
horrorcore	0	0
horror punk	0	0
horror synth	0	0
house	1	0
huayno	0	0
humppa	0	0
hungarian folk music	0	0
hyang-ak	0	0
hymns	0	0
hyperpop	1	0
hyphy	0	0
hypnagogic pop	1	0
ibiza trance	0	0
icelandic folk music	0	0
idm	0	0
idol kayō	0	0
igbo music	0	0
illbient	0	0
impressionism	0	0
indeterminacy	0	0
indian pop	0	0
indie folk	1	0
indie pop	1	0
indie rock	1	0
indietronica	1	0
indigenous american music	0	0
indigenous andean music	0	0
indigenous australian music	0	0
indigenous taiwanese music	0	0
indorock	0	0
industrial	0	1
industrial hardcore	0	0
industrial hip hop	0	0
industrial metal	0	0
industrial music	0	0
industrial rock	0	0
industrial techno	0	0
instrumental hip hop	0	0
integral serialism	0	0
interview	0	0
inuit music	0	0
inuit vocal games	0	0
ionian islands folk music	0	0
iranian folk music	0	0
iranian music	0	0
iraqi maqam	0	0
irish folk music	0	0
irish showband	0	0
islamic modal music	0	0
islamic religious music & recitation	0	0
israeli folk music	0	0
italian folk music	0	0
italo dance	0	0
italo-disco	0	0
italo house	0	0
italo pop	0	0
izlan	0	0
jaipongan	0	0
jamaican music	0	0
jamaican ska	0	0
jam band	0	0
jangle pop	1	0
japanese classical music	0	0
japanese folk music	0	0
japanese hardcore	0	0
japanese hip hop	0	0
japanese music	0	0
jazz	0	1
jazz-funk	0	0
jazz fusion	0	0
jazz manouche	0	0
jazz poetry	0	0
jazz pop	1	0
jazz rap	0	0
jazz-rock	0	0
jazzstep	0	0
j-core	0	0
al jeel	0	0
jeong-ak	0	0
jerk rap	0	0
jersey club	0	0
jewish liturgical music	0	0
jewish music	0	0
jiangnan sizhu	0	0
jibaro	0	0
jingles	0	0
jit	0	0
jiuta	0	0
joik	0	0
jongo	0	0
jook	0	0
joropo	0	0
jōruri	0	0
jovem guarda	0	0
j-pop	0	0
jug band	0	0
jùjú	0	0
juke	0	0
jump blues	0	0
jumpstyle	0	0
jump-up	0	0
jungle	0	0
jungle terror	0	0
junkanoo	0	0
kabarett	0	0
kabye folk music	0	0
kabyle music	0	0
kafi	0	0
kagura	0	0
kalindula	0	0
kalmyk traditional music	0	0
kanto	0	0
kapuka	0	0
karakalpak traditional music	0	0
kaseko	0	0
kawaii future bass	0	0
kayōkyoku	0	0
kazakh traditional music	0	0
kecak	0	0
kecapi suling	0	0
kef music	0	0
keroncong	0	0
khakas traditional music	0	0
khmer folk music	0	0
khoisan folk music	0	0
khrueang sai	0	0
khyal	0	0
kidumbak	0	0
kilapanga	0	0
kirtan	0	0
kizomba	0	0
klapa	0	0
kleinkunst	0	0
klezmer	0	0
kliningan	0	0
könsrock	0	0
korean classical music	0	0
korean folk music	0	0
korean music	0	0
kouta	0	0
k-pop	0	0
krautrock	0	0
kriyat hatorah	0	0
kuda lumping	0	0
kuduro	0	0
kulintang	0	0
kumiuta	0	0
kundiman	0	0
kurdish folk music	0	0
kurpian folk music	0	0
kwaito	0	0
kwassa kwassa	0	0
kwela	0	0
kyrgyz traditional music	0	0
lab polyphony	0	0
laika	0	0
lambada	0	0
lao folk music	0	0
latin alternative	0	0
latin american classical music	0	0
latin disco	0	0
latin electronic	0	0
latin freestyle	0	0
latin funk	0	0
latin house	0	0
latin jazz	0	0
latin pop	0	0
latin rap	0	0
latin rock	0	0
latin soul	0	0
latvian folk music	0	0
lectures	0	0
lento violento	0	0
levenslied	0	0
library music	0	0
lieder	0	0
liedermacher	0	0
light music	0	0
lilat	0	0
liquid drum and bass	0	0
liscio	0	0
lithuanian folk music	0	0
lo-fi hip hop	0	0
lo-fi / slacker rock	0	0
lokal musik	0	0
lolicore	0	0
lounge	0	0
lovers rock	0	0
lowercase	0	0
luk krung	0	0
luk thung	0	0
lullabies	0	0
luri folk music	0	0
macedonian folk music	0	0
maddahi	0	0
madrigal	0	0
maftirim	0	0
mahori	0	0
mahraganat	0	0
makina	0	0
makossa	0	0
malagasy folk music	0	0
malagasy music	0	0
malagueña venezolana	0	0
malayali folk music	0	0
malay classical music	0	0
malay folk music	0	0
malhun	0	0
mallsoft	0	0
maloya	0	0
maloya élektrik	0	0
mambo	0	0
mande music	0	0
mandopop	0	0
manele	0	0
mangue beat	0	0
manila sound	0	0
manx folk music	0	0
manyao	0	0
māori traditional music	0	0
mapuche folk music	0	0
marabi	0	0
maracatu	0	0
marchinha	0	0
mariachi	0	0
mari folk music	0	0
marinera	0	0
marrabenta	0	0
martial industrial	0	0
mashcore	0	0
mashup	1	0
mathcore	0	0
math rock	0	0
maxixe	0	0
mbalax	0	0
mbaqanga	0	0
mbenga-mbuti music	0	0
mbube	0	0
medieval classical music	0	0
medieval folk metal	0	0
medieval lyric poetry	0	0
medieval rock	0	0
melanesian music	0	0
melbourne bounce	0	0
melodic black metal	0	0
melodic death metal	0	0
melodic dubstep	0	0
melodic hardcore	0	0
melodic metalcore	0	0
memphis rap	0	0
mento	0	0
merecumbé	0	0
merengue	0	0
méringue	0	0
merseybeat	0	0
mesopotamian music	0	0
metal	0	1
metalcore	0	0
mexican folk music	0	0
mexican music	0	0
miami bass	0	0
microhouse	0	0
micronesian traditional music	0	0
microsound	0	0
microtonal classical	0	0
mid-school hip hop	0	0
midtempo bass	0	0
midwest emo	1	0
milonga	0	0
min'yō	0	0
minatory	0	0
minimal drum and bass	0	0
minimalism	0	0
minimal synth	1	0
minimal techno	0	0
minimal wave	0	0
mobb music	0	0
mod	0	0
moda de viola	0	0
modal jazz	0	0
modern classical	0	0
modern laika	0	0
mod revival	0	0
molam	0	0
mongolian long song	0	0
mongolian throat singing	0	0
mongolian traditional music	0	0
mono	0	0
mood kayō	0	0
moombahcore	0	0
moombahton	0	0
moorish music	0	0
moravian folk music	0	0
morna	0	0
moroccan chaabi	0	0
motown sound	0	0
moutya	0	0
movimiento alterado	0	0
mozambique	0	0
mpb	0	0
muliza	0	0
murga	0	0
musette	0	0
música criolla peruana	0	0
música de intervenção	0	0
música gaúcha	0	0
musical comedy	1	0
musical parody	0	0
musical theatre and entertainment	0	1
music hall	0	0
musika popullore	0	0
musique concrète	0	0
musique concrète instrumentale	0	0
muzică de mahala	0	0
muzică lăutărească	0	0
muzika mizrahit	0	0
muziki wa dansi	0	0
nagauta	0	0
narodno zabavna glasba	0	0
nasheed	0	0
nashville sound	0	0
nature recordings	0	0
naturjodel	0	0
nederbeat	0	0
nederpop	0	0
neoclassical darkwave	0	0
neoclassical metal	0	0
neoclassical new age	0	0
neoclassicism	0	0
neofolk	0	0
neo kyma	0	0
neo-medieval folk	0	0
neo-pagan folk	0	0
neoperreo	0	0
neo-prog	0	0
neo-psychedelia	1	0
neo-soul	0	0
neo-traditionalist country	0	0
nerdcore hip hop	0	0
nerdcore techno	0	0
neue deutsche härte	0	0
neue deutsche welle	0	0
neurofunk	0	0
neurohop	0	0
newa folk music	0	0
new age	0	1
new age kirtan	0	0
new beat	0	0
new complexity	0	0
newfoundland folk music	0	0
new jack swing	0	0
new music	0	0
new orleans blues	0	0
new orleans brass band	0	0
new orleans r&b	0	0
new romantic	0	0
new wave	1	0
new york hardcore	0	0
ngoma	0	0
nguni folk music	0	0
nhạc vàng	0	0
nightcore	0	0
nigun	0	0
nintendocore	0	0
nitzhonot	0	0
noh	0	0
noise	0	1
noisecore	0	0
noise pop	1	0
noise rock	0	0
nordic folk music	0	0
nordic folk rock	0	0
nordic old time dance music	0	0
nortec	0	0
norteño	0	0
north african music	0	0
northeastern african music	0	0
northern soul	0	0
northumbrian folk music	0	0
norwegian folk music	0	0
nouvelle chanson française	0	0
nova cançó	0	0
nòva cançon	0	0
novelty	0	0
novelty piano	0	0
novo dub	0	0
